ID,CALL,CN,TYPE
06DDA726,D-2767,1F,LS1f
06DD9A95,N-2200,33,H301
06DD9C75,D-4344,44,Discus
06DDA983,D-2728,BA,Mosquito-b
06DDFE85,D-0585,BU,Discus
06DDA761,D-8667,CN,LS1f
06DDDDDD,D-0913,FR,Std-Libelle
06DD9958,D-1433,JO,ASW-19
06DDD28A,D-KHKG,KG,Twin-III-SL
06DDECB6,D-MHNT,NT,Taurus
06DD9B51,D-6573,PG,LS-4
06DDB008,D-0211,RB,LS-4b
06DF0CCB,D-2817,SN,LS-3-WL
06DDDE43,D-5484,YL,LS-4
06DD9DA6,D-4995,Z,Discus-CS
06DF08B3,D-0804,ALS,DG-1000
06DDE9C4,D-KLBD,BD,ArcusM
06DDFE79,D-KPGC,BT,DuoDiscus
06DDA2A4,D-KIEL,CP,DuDiscusT
06DDDEDB,D-KHAI,E2,DuoDicusXLT
06DDAADD,D-KKFS,KK,DuoDiscusT
06DF0922,D-KMEX,MR,ArcusM
06DD84AC,D-KUAX,Q2,DG-1001M
053E6C07,D-KGCL,Q3,S-10-VT
06DD9922,D-2249,RR,DuoDiscus
06DDBC9C,D-KAOB,S,DuoDiscusXLT
06DD9E73,D-2056,S1,JanusCE
06DF0B1E,D-KBST,ST,DuoDiscusXLT
06DF0F30,D-KTTK,WK,ArcusM
053ED746,D-XXXX,4Y,ArcusM
06DDEB0B,D-KLJM,66,Ventus-2xcT
06DF124F,D-3653,4B,LS6a
06DF0226,D-8664,LE,Ventus-2cxR
06DDAAA3,D-KYLO,LO,Ventus-2cM
06DDDD42,D-KFOX,OX,ASH-26e
06DDDF14,D-KPGV,RG,DG-808C
06DD99B4,D-6718,TW,LS-8-18
